track,convention,value,evidence
cartography-platform-7,subagent_limit,"At most 2 subagents total (read-only audit / adversarial review)",.planning/cartography-platform-7/GOAL.md:20-21
cartography-platform-7,no_ci_clause,absent,.planning/cartography-platform-7/GOAL.md:1-41
cartography-platform-7,build_parallelism,"-j2 max (CMAKE_BUILD_PARALLEL_LEVEL=2)",.planning/cartography-platform-7/GOAL.md:19
cartography-platform-7,never_nproc_ban,absent,.planning/cartography-platform-7/GOAL.md:1-41
cartography-platform-7,test_protocol,"tests CTEST_PARALLEL_LEVEL=1",.planning/cartography-platform-7/GOAL.md:19
cartography-platform-7,master_readonly,"Master is read-only",.planning/cartography-platform-7/GOAL.md:17
cartography-platform-7,pr_exit,"PR submitted",.planning/cartography-platform-7/GOAL.md:41
cartography-platform-7,fail_honesty,"FAIL is never wrapped as success: unverifiable checks report warning/unknown",.planning/cartography-platform-7/GOAL.md:16
cartography-platform-7,review_gate,"adversarial review remediated",.planning/cartography-platform-7/GOAL.md:41
cartography-platform-7,autonomy_defaults,absent,.planning/cartography-platform-7/GOAL.md:1-41
cartography-platform-7,ownership_section,absent,.planning/cartography-platform-7/GOAL.md:1-41
cartography-platform-7,external_goal_refs,"Work packages (from the goal definition)",.planning/cartography-platform-7/GOAL.md:23
cartography-platform-7,skills_referenced,none,.planning/cartography-platform-7/GOAL.md:1-41
cartography-platform-7,language,EN,.planning/cartography-platform-7/GOAL.md:1
cartography-platform-7,planning_file_set,"ARCHITECTURE BASELINE FINAL_REPORT GOAL MILESTONES PLAN REVIEW_LOG TEST_MATRIX",ls .planning/cartography-platform-7/
cartography-platform-7,single_chain_invariants,"QGIS stays the single rendering/layout authority; no second render engine",.planning/cartography-platform-7/GOAL.md:10-11
cartography-platform-7,phase_structure,"Work packages A–I",.planning/cartography-platform-7/GOAL.md:25-35
cartography-platform-8,branch_name,feat/cartography-platform-8 from origin/master @ 2d4f0daedd,.planning/cartography-platform-8/GOAL.md:9
cartography-platform-8,worktree_path,absent,.planning/cartography-platform-8/GOAL.md:1-65
cartography-platform-8,base_pinned,origin/master @ 2d4f0daedd,.planning/cartography-platform-8/GOAL.md:9
cartography-platform-8,token_budget,absent,.planning/cartography-platform-8/GOAL.md:1-65
cartography-platform-8,subagent_limit,"Subagent budget: ≤2 (adversarial review only)",.planning/cartography-platform-8/GOAL.md:11
cartography-platform-8,no_ci_clause,"Local verification only; online CI/CD not required and not waited on",.planning/cartography-platform-8/GOAL.md:10
cartography-platform-8,build_parallelism,absent,.planning/cartography-platform-8/GOAL.md:1-65
cartography-platform-8,never_nproc_ban,absent,.planning/cartography-platform-8/GOAL.md:1-65
cartography-platform-8,test_protocol,absent,.planning/cartography-platform-8/GOAL.md:1-65
cartography-platform-8,master_readonly,implicit,.planning/cartography-platform-8/GOAL.md:9
cartography-platform-8,pr_exit,"M10 push, PR",.planning/cartography-platform-8/GOAL.md:51-52
cartography-platform-8,fail_honesty,"honest `unsatisfied` evidence (page overflow) instead of silently off-page geometry",.planning/cartography-platform-8/GOAL.md:30-32
cartography-platform-8,review_gate,"M9 ≤2 read-only subagents over the full diff; P0/P1 fixed, P2/P3 fixed or justified; REVIEW_LOG",.planning/cartography-platform-8/GOAL.md:49-50
cartography-platform-8,autonomy_defaults,absent,.planning/cartography-platform-8/GOAL.md:1-65
cartography-platform-8,ownership_section,absent,.planning/cartography-platform-8/GOAL.md:1-65
cartography-platform-8,external_goal_refs,absent,.planning/cartography-platform-8/GOAL.md:1-65
cartography-platform-8,skills_referenced,none,.planning/cartography-platform-8/GOAL.md:1-65
cartography-platform-8,language,EN,.planning/cartography-platform-8/GOAL.md:1
cartography-platform-8,planning_file_set,"ARCHITECTURE BASELINE CAPABILITY_MATRIX FINAL_REPORT GOAL MILESTONES OWNERSHIP PERFORMANCE REVIEW_LOG TEST_MATRIX",ls .planning/cartography-platform-8/
cartography-platform-8,single_chain_invariants,"No second rendering path: every pixel still comes from QGIS",.planning/cartography-platform-8/GOAL.md:56-58
cartography-platform-8,phase_structure,"Milestones M0–M10",.planning/cartography-platform-8/GOAL.md:13-52
cartography-platform-9,branch_name,feat/cartography-platform-9 from origin/master @ f316dfdbb4,.planning/cartography-platform-9/GOAL.md:3-4
cartography-platform-9,worktree_path,/home/kevin/projects/rs-studio/exp-rs-cartography-platform-9,.planning/cartography-platform-9/GOAL.md:6
cartography-platform-9,base_pinned,origin/master @ f316dfdbb4,.planning/cartography-platform-9/GOAL.md:4
cartography-platform-9,token_budget,"program-level (≥ 3×10^8 tokens budget)",.planning/cartography-platform-9/GOAL.md:8
cartography-platform-9,subagent_limit,"Max 2 read-only review subagents",.planning/cartography-platform-9/GOAL.md:9
cartography-platform-9,no_ci_clause,"Online CI/CD is NOT a completion condition — all evidence is local and reproducible",.planning/cartography-platform-9/GOAL.md:9-10
cartography-platform-9,build_parallelism,absent,.planning/cartography-platform-9/GOAL.md:1-60
cartography-platform-9,never_nproc_ban,absent,.planning/cartography-platform-9/GOAL.md:1-60
cartography-platform-9,test_protocol,absent,.planning/cartography-platform-9/GOAL.md:1-60
cartography-platform-9,master_readonly,implicit,.planning/cartography-platform-9/GOAL.md:3-6
cartography-platform-9,pr_exit,absent (no PR step in milestones),.planning/cartography-platform-9/GOAL.md:54-60
cartography-platform-9,fail_honesty,absent,.planning/cartography-platform-9/GOAL.md:1-60
cartography-platform-9,review_gate,absent,.planning/cartography-platform-9/GOAL.md:1-60
cartography-platform-9,autonomy_defaults,absent,.planning/cartography-platform-9/GOAL.md:1-60
cartography-platform-9,ownership_section,"Owned / NOT owned lists",.planning/cartography-platform-9/GOAL.md:27-37
cartography-platform-9,external_goal_refs,"See MILESTONES.md for the per-milestone scope decisions",.planning/cartography-platform-9/GOAL.md:60
cartography-platform-9,skills_referenced,none,.planning/cartography-platform-9/GOAL.md:1-60
cartography-platform-9,language,EN,.planning/cartography-platform-9/GOAL.md:1
cartography-platform-9,planning_file_set,"ARCHITECTURE BASELINE CAPABILITY_MATRIX FINAL_REPORT GOAL ISSUE_TRIAGE MILESTONES OVERLAP_MAP OWNERSHIP PERFORMANCE REVIEW_LOG TEST_MATRIX",ls .planning/cartography-platform-9/
cartography-platform-9,single_chain_invariants,"NOT owned: execution scheduler (WorkflowRunCoordinator → TaskCenter → JobEngine → Executor)",.planning/cartography-platform-9/GOAL.md:34-36
cartography-platform-9,phase_structure,"Milestones M0–M10",.planning/cartography-platform-9/GOAL.md:54-60
data-runtime-governance-4,branch_name,zcode/data-runtime-governance-4,.planning/data-runtime-governance-4/GOAL.md:4
data-runtime-governance-4,worktree_path,/home/kevin/projects/rs-studio/exp-rs-data-runtime-4,.planning/data-runtime-governance-4/GOAL.md:5
data-runtime-governance-4,base_pinned,master @ 58eb196baa,.planning/data-runtime-governance-4/GOAL.md:6
data-runtime-governance-4,token_budget,absent,.planning/data-runtime-governance-4/GOAL.md:1-49
data-runtime-governance-4,subagent_limit,absent,.planning/data-runtime-governance-4/GOAL.md:1-49
data-runtime-governance-4,no_ci_clause,"no dependence on online CI",.planning/data-runtime-governance-4/GOAL.md:7
data-runtime-governance-4,build_parallelism,absent,.planning/data-runtime-governance-4/GOAL.md:1-49
data-runtime-governance-4,never_nproc_ban,absent,.planning/data-runtime-governance-4/GOAL.md:1-49
data-runtime-governance-4,test_protocol,absent,.planning/data-runtime-governance-4/GOAL.md:1-49
data-runtime-governance-4,master_readonly,implicit ("one final PR into master"),.planning/data-runtime-governance-4/GOAL.md:7
data-runtime-governance-4,pr_exit,"one final PR into master; PR title: fix(runtime): …",.planning/data-runtime-governance-4/GOAL.md:7-8
data-runtime-governance-4,fail_honesty,"PR opened with evidence-backed claims only",.planning/data-runtime-governance-4/GOAL.md:49
data-runtime-governance-4,review_gate,"No unresolved P0/P1 from the governance/runtime/cache/workflow cluster",.planning/data-runtime-governance-4/GOAL.md:43
data-runtime-governance-4,autonomy_defaults,absent,.planning/data-runtime-governance-4/GOAL.md:1-49
data-runtime-governance-4,ownership_section,"Primary ownership + hot-spots-only-when-necessary rule + DOCS_LEDGER.md",.planning/data-runtime-governance-4/GOAL.md:17-23
data-runtime-governance-4,external_goal_refs,"In-scope issue cluster (verified open at HEAD, 2026-09-06)",.planning/data-runtime-governance-4/GOAL.md:25
data-runtime-governance-4,skills_referenced,none,.planning/data-runtime-governance-4/GOAL.md:1-49
data-runtime-governance-4,language,EN,.planning/data-runtime-governance-4/GOAL.md:1
data-runtime-governance-4,planning_file_set,"ARCHITECTURE BASELINE DOCS_LEDGER FINAL_REPORT GOAL PLAN REVIEW_LOG SCALE_BASELINE TEST_MATRIX",ls .planning/data-runtime-governance-4/
data-runtime-governance-4,single_chain_invariants,implicit,.planning/data-runtime-governance-4/GOAL.md:1-49
data-runtime-governance-4,phase_structure,"Issue-cluster milestones A–G",.planning/data-runtime-governance-4/GOAL.md:27-36
dataset-experiment-7,branch_name,feat/dataset-experiment-7,.planning/dataset-experiment-7/GOAL.md:3
dataset-experiment-7,worktree_path,C:\Users\wangj.KEVIN\projects\exp-rs-dataset-experiment-7,.planning/dataset-experiment-7/GOAL.md:4
dataset-experiment-7,base_pinned,master @ 2041f6fa,.planning/dataset-experiment-7/GOAL.md:5
dataset-experiment-7,token_budget,absent,.planning/dataset-experiment-7/GOAL.md:1-38
dataset-experiment-7,subagent_limit,"Max 2 subagents total (read-only analysis/review preferred)",.planning/dataset-experiment-7/GOAL.md:21
dataset-experiment-7,no_ci_clause,"Local build/test evidence only; no CI/CD dependency",.planning/dataset-experiment-7/GOAL.md:23
dataset-experiment-7,build_parallelism,"Build parallelism ≤ 2",.planning/dataset-experiment-7/GOAL.md:23
dataset-experiment-7,never_nproc_ban,absent,.planning/dataset-experiment-7/GOAL.md:1-38
dataset-experiment-7,test_protocol,"CTest parallelism 1",.planning/dataset-experiment-7/GOAL.md:24
dataset-experiment-7,master_readonly,"master is read-only; all work in this worktree/branch",.planning/dataset-experiment-7/GOAL.md:22
dataset-experiment-7,pr_exit,absent (no PR step stated),.planning/dataset-experiment-7/GOAL.md:1-38
dataset-experiment-7,fail_honesty,"FAIL is never wrapped as success; unvalidatable ⇒ warning/unknown",.planning/dataset-experiment-7/GOAL.md:28
dataset-experiment-7,review_gate,absent,.planning/dataset-experiment-7/GOAL.md:1-38
dataset-experiment-7,autonomy_defaults,absent,.planning/dataset-experiment-7/GOAL.md:1-38
dataset-experiment-7,ownership_section,absent,.planning/dataset-experiment-7/GOAL.md:1-38
dataset-experiment-7,external_goal_refs,"Completion definition (from the goal brief); Hard constraints (from the goal brief)",.planning/dataset-experiment-7/GOAL.md:14,19
dataset-experiment-7,skills_referenced,none,.planning/dataset-experiment-7/GOAL.md:1-38
dataset-experiment-7,language,EN,.planning/dataset-experiment-7/GOAL.md:1
dataset-experiment-7,planning_file_set,"ARCHITECTURE BASELINE FINAL_REPORT GOAL MILESTONES PLAN REVIEW_LOG TEST_MATRIX pr_body.md",ls .planning/dataset-experiment-7/
dataset-experiment-7,single_chain_invariants,"No second agent foundation, no second scheduler, no second map engine",.planning/dataset-experiment-7/GOAL.md:27
dataset-experiment-7,phase_structure,"Deliverable sections A–G",.planning/dataset-experiment-7/GOAL.md:30-38
dataset-experiment-mlops-8,branch_name,feat/dataset-experiment-mlops-8,.planning/dataset-experiment-mlops-8/GOAL.md:8
dataset-experiment-mlops-8,worktree_path,../exp-rs-dataset-experiment-mlops-8,.planning/dataset-experiment-mlops-8/GOAL.md:9
dataset-experiment-mlops-8,base_pinned,origin/master 322dfd3876 (re-verified 2026-09-10),.planning/dataset-experiment-mlops-8/GOAL.md:10
dataset-experiment-mlops-8,token_budget,absent,.planning/dataset-experiment-mlops-8/GOAL.md:1-36
dataset-experiment-mlops-8,subagent_limit,absent (adversarial review required, count unstated),.planning/dataset-experiment-mlops-8/GOAL.md:35
dataset-experiment-mlops-8,no_ci_clause,absent,.planning/dataset-experiment-mlops-8/GOAL.md:1-36
dataset-experiment-mlops-8,build_parallelism,absent,.planning/dataset-experiment-mlops-8/GOAL.md:1-36
dataset-experiment-mlops-8,never_nproc_ban,absent,.planning/dataset-experiment-mlops-8/GOAL.md:1-36
dataset-experiment-mlops-8,test_protocol,"local build + test evidence (unit + E2E)",.planning/dataset-experiment-mlops-8/GOAL.md:33
dataset-experiment-mlops-8,master_readonly,implicit,.planning/dataset-experiment-mlops-8/GOAL.md:8-10
dataset-experiment-mlops-8,pr_exit,"PR created (no merge)",.planning/dataset-experiment-mlops-8/GOAL.md:36
dataset-experiment-mlops-8,fail_honesty,"Secondary gaps either implemented or explicitly refused with rationale",.planning/dataset-experiment-mlops-8/GOAL.md:34
dataset-experiment-mlops-8,review_gate,"Adversarial review completed; no open P0/P1; P2/P3 fixed or justified",.planning/dataset-experiment-mlops-8/GOAL.md:35
dataset-experiment-mlops-8,autonomy_defaults,absent,.planning/dataset-experiment-mlops-8/GOAL.md:1-36
dataset-experiment-mlops-8,ownership_section,"Hard laws: ownership unchanged (RSOperatorRegistry, IModelRuntime, QGIS, stores, src/geospatial)",.planning/dataset-experiment-mlops-8/GOAL.md:17-18
dataset-experiment-mlops-8,external_goal_refs,"Verified primary gap (see BASELINE.md)",.planning/dataset-experiment-mlops-8/GOAL.md:21
dataset-experiment-mlops-8,skills_referenced,none,.planning/dataset-experiment-mlops-8/GOAL.md:1-36
dataset-experiment-mlops-8,language,EN,.planning/dataset-experiment-mlops-8/GOAL.md:1
dataset-experiment-mlops-8,planning_file_set,"ARCHITECTURE BASELINE CAPABILITY_MATRIX DOCS_LEDGER FINAL_REPORT GOAL MILESTONES OWNERSHIP PERFORMANCE PLAN REVIEW_LOG TEST_MATRIX",ls .planning/dataset-experiment-mlops-8/
dataset-experiment-mlops-8,single_chain_invariants,"Pi stays the single agent loop; execution stays WorkflowRunCoordinator → TaskCenter → JobEngine → Executor/RSOperator",.planning/dataset-experiment-mlops-8/GOAL.md:14-16
dataset-experiment-mlops-8,phase_structure,"WP-A + secondary gaps",.planning/dataset-experiment-mlops-8/GOAL.md:30-36
execution-data-plane-3,branch_name,zcode/spatial-execution-data-plane-3,.planning/execution-data-plane-3/GOAL.md:3
execution-data-plane-3,worktree_path,exp-rs-execution-plane-3 (relative name only),.planning/execution-data-plane-3/GOAL.md:3
execution-data-plane-3,base_pinned,off origin/master @ bf26b74a34,.planning/execution-data-plane-3/GOAL.md:3
execution-data-plane-3,token_budget,absent,.planning/execution-data-plane-3/GOAL.md:1-56
execution-data-plane-3,subagent_limit,absent (adversarial review in checklist),.planning/execution-data-plane-3/GOAL.md:55
execution-data-plane-3,no_ci_clause,"No online CI/CD dependency: local build + ctest + bench + fault injection only",.planning/execution-data-plane-3/GOAL.md:28
execution-data-plane-3,build_parallelism,"CMAKE_BUILD_PARALLEL_LEVEL=2, ctest -j2 (stress -j1)",.planning/execution-data-plane-3/GOAL.md:29
execution-data-plane-3,never_nproc_ban,"Never -j$(nproc) (16 logical CPUs / 62 GB RAM host, other epics co-running)",.planning/execution-data-plane-3/GOAL.md:30
execution-data-plane-3,test_protocol,"ctest -j2 (stress -j1); fault injection",.planning/execution-data-plane-3/GOAL.md:29,28
execution-data-plane-3,master_readonly,"master is read-only; all work in this worktree/branch; staged commits; final PR",.planning/execution-data-plane-3/GOAL.md:27
execution-data-plane-3,pr_exit,"master sync → push + PR; no CI wait",.planning/execution-data-plane-3/GOAL.md:43,56
execution-data-plane-3,fail_honesty,"Scientific correctness > hit rate",.planning/execution-data-plane-3/GOAL.md:32
execution-data-plane-3,review_gate,"Review passes 1-4; adversarial review ✓",.planning/execution-data-plane-3/GOAL.md:43,55
execution-data-plane-3,autonomy_defaults,absent,.planning/execution-data-plane-3/GOAL.md:1-56
execution-data-plane-3,ownership_section,"Ownership (files this epic may change) + Off-limits",.planning/execution-data-plane-3/GOAL.md:16-23
execution-data-plane-3,external_goal_refs,"Success = acceptance checklist (§26 of the goal)",.planning/execution-data-plane-3/GOAL.md:47
execution-data-plane-3,skills_referenced,none,.planning/execution-data-plane-3/GOAL.md:1-56
execution-data-plane-3,language,EN,.planning/execution-data-plane-3/GOAL.md:1
execution-data-plane-3,planning_file_set,"ARCHITECTURE BASELINE COMPLETION DATA_MODEL EXECUTION_LIFECYCLE FAILURE_MATRIX GOAL MEMORY_BUDGET PERF_BASELINE PHASES REVIEW_LOG TEST_MATRIX",ls .planning/execution-data-plane-3/
execution-data-plane-3,single_chain_invariants,implicit (off-limits: Pi UX; execution seams only),.planning/execution-data-plane-3/GOAL.md:22-23
execution-data-plane-3,phase_structure,"Phases A–M + Review passes 1-4",.planning/execution-data-plane-3/GOAL.md:37-43
execution-plane-8,branch_name,feat/execution-plane-8,.planning/execution-plane-8/GOAL.md:16
execution-plane-8,worktree_path,/home/kevin/projects/rs-studio/exp-rs-execution-plane-8,.planning/execution-plane-8/GOAL.md:17
execution-plane-8,base_pinned,origin/master = 322dfd3876 (latest verified 2026-09-10),.planning/execution-plane-8/GOAL.md:18
execution-plane-8,token_budget,absent,.planning/execution-plane-8/GOAL.md:1-34
execution-plane-8,subagent_limit,"Subagent budget: ≤ 2 total (read-only reviewers)",.planning/execution-plane-8/GOAL.md:20
execution-plane-8,no_ci_clause,"Local verification only; no online CI waiting",.planning/execution-plane-8/GOAL.md:19
execution-plane-8,build_parallelism,absent,.planning/execution-plane-8/GOAL.md:1-34
execution-plane-8,never_nproc_ban,absent,.planning/execution-plane-8/GOAL.md:1-34
execution-plane-8,test_protocol,absent,.planning/execution-plane-8/GOAL.md:1-34
execution-plane-8,master_readonly,implicit,.planning/execution-plane-8/GOAL.md:16-18
execution-plane-8,pr_exit,absent,.planning/execution-plane-8/GOAL.md:1-34
execution-plane-8,fail_honesty,absent,.planning/execution-plane-8/GOAL.md:1-34
execution-plane-8,review_gate,absent,.planning/execution-plane-8/GOAL.md:1-34
execution-plane-8,autonomy_defaults,absent,.planning/execution-plane-8/GOAL.md:1-34
execution-plane-8,ownership_section,absent,.planning/execution-plane-8/GOAL.md:1-34
execution-plane-8,external_goal_refs,"7.0 known-limitation source column",.planning/execution-plane-8/GOAL.md:24-34
execution-plane-8,skills_referenced,none,.planning/execution-plane-8/GOAL.md:1-34
execution-plane-8,language,EN,.planning/execution-plane-8/GOAL.md:1
execution-plane-8,planning_file_set,"ARCHITECTURE BASELINE CAPABILITY_MATRIX DOCS_LEDGER FINAL_REPORT GOAL MILESTONES OWNERSHIP PERFORMANCE PLAN REVIEW_LOG TEST_MATRIX",ls .planning/execution-plane-8/
execution-plane-8,single_chain_invariants,"Non-negotiable: the single scheduling chain … remains the ONLY scheduling path. No second scheduler, no second agent loop, no competing model runtime",.planning/execution-plane-8/GOAL.md:9-12
execution-plane-8,phase_structure,"Work packages A–I",.planning/execution-plane-8/GOAL.md:22-34
execution-plane-runtime-7,branch_name,feat/execution-plane-runtime-7,.planning/execution-plane-runtime-7/GOAL.md:3
execution-plane-runtime-7,worktree_path,../exp-rs-execution-plane-runtime-7,.planning/execution-plane-runtime-7/GOAL.md:3
execution-plane-runtime-7,base_pinned,cut from master 2041f6fa,.planning/execution-plane-runtime-7/GOAL.md:3
execution-plane-runtime-7,token_budget,absent,.planning/execution-plane-runtime-7/GOAL.md:1-38
execution-plane-runtime-7,subagent_limit,"最多 2 个 subagents（#1 已用于基线审计，#2 保留给最终 adversarial review）",.planning/execution-plane-runtime-7/GOAL.md:34
execution-plane-runtime-7,no_ci_clause,"无线上 CI；一切结论来自本地可重复构建/测试",.planning/execution-plane-runtime-7/GOAL.md:35
execution-plane-runtime-7,build_parallelism,"CMAKE_BUILD_PARALLEL_LEVEL=2、CTEST_PARALLEL_LEVEL=1；重目标 -j1/-j2",.planning/execution-plane-runtime-7/GOAL.md:36
execution-plane-runtime-7,never_nproc_ban,absent,.planning/execution-plane-runtime-7/GOAL.md:1-38
execution-plane-runtime-7,test_protocol,absent,.planning/execution-plane-runtime-7/GOAL.md:1-38
execution-plane-runtime-7,master_readonly,"master 只读；只在 worktree 开发；small commits；先 contract 后功能",.planning/execution-plane-runtime-7/GOAL.md:37
execution-plane-runtime-7,pr_exit,absent,.planning/execution-plane-runtime-7/GOAL.md:1-38
execution-plane-runtime-7,fail_honesty,"FAIL 不得包装成 success；无法验证用 warning/unknown",.planning/execution-plane-runtime-7/GOAL.md:38
execution-plane-runtime-7,review_gate,"#2 subagent reserved for final adversarial review",.planning/execution-plane-runtime-7/GOAL.md:34
execution-plane-runtime-7,autonomy_defaults,absent,.planning/execution-plane-runtime-7/GOAL.md:1-38
execution-plane-runtime-7,ownership_section,absent,.planning/execution-plane-runtime-7/GOAL.md:1-38
execution-plane-runtime-7,external_goal_refs,absent,.planning/execution-plane-runtime-7/GOAL.md:1-38
execution-plane-runtime-7,skills_referenced,none,.planning/execution-plane-runtime-7/GOAL.md:1-38
execution-plane-runtime-7,language,CN,.planning/execution-plane-runtime-7/GOAL.md:5
execution-plane-runtime-7,planning_file_set,"ARCHITECTURE BASELINE FINAL_REPORT GOAL MILESTONES PLAN REVIEW_LOG TEST_MATRIX",ls .planning/execution-plane-runtime-7/
execution-plane-runtime-7,single_chain_invariants,"唯一调度链（不变量）WorkflowRunCoordinator -> TaskCenter -> JobEngine -> Executor; 不允许出现第二个 job graph/scheduler",.planning/execution-plane-runtime-7/GOAL.md:8-12
execution-plane-runtime-7,phase_structure,"开发包 A–H with 里程碑 M1–M8",.planning/execution-plane-runtime-7/GOAL.md:14-25
geospatial-data-fabric-8,branch_name,feat/geospatial-data-fabric-8,.planning/geospatial-data-fabric-8/GOAL.md:4
geospatial-data-fabric-8,worktree_path,../exp-rs-geospatial-data-fabric-8,.planning/geospatial-data-fabric-8/GOAL.md:4
geospatial-data-fabric-8,base_pinned,origin/master = 322dfd3876c3… (verified 2026-09-10),.planning/geospatial-data-fabric-8/GOAL.md:5-6
geospatial-data-fabric-8,token_budget,absent,.planning/geospatial-data-fabric-8/GOAL.md:1-29
geospatial-data-fabric-8,subagent_limit,absent,.planning/geospatial-data-fabric-8/GOAL.md:1-29
geospatial-data-fabric-8,no_ci_clause,absent,.planning/geospatial-data-fabric-8/GOAL.md:1-29
geospatial-data-fabric-8,build_parallelism,absent,.planning/geospatial-data-fabric-8/GOAL.md:1-29
geospatial-data-fabric-8,never_nproc_ban,absent,.planning/geospatial-data-fabric-8/GOAL.md:1-29
geospatial-data-fabric-8,test_protocol,absent,.planning/geospatial-data-fabric-8/GOAL.md:1-29
geospatial-data-fabric-8,master_readonly,implicit,.planning/geospatial-data-fabric-8/GOAL.md:4
geospatial-data-fabric-8,pr_exit,absent,.planning/geospatial-data-fabric-8/GOAL.md:1-29
geospatial-data-fabric-8,fail_honesty,"no policy change without evidence",.planning/geospatial-data-fabric-8/GOAL.md:19
geospatial-data-fabric-8,review_gate,absent,.planning/geospatial-data-fabric-8/GOAL.md:1-29
geospatial-data-fabric-8,autonomy_defaults,absent,.planning/geospatial-data-fabric-8/GOAL.md:1-29
geospatial-data-fabric-8,ownership_section,"src/geospatial stays the single I/O authority (ownership boundary)",.planning/geospatial-data-fabric-8/GOAL.md:11
geospatial-data-fabric-8,external_goal_refs,"Track contract table (Prompt ask column)",.planning/geospatial-data-fabric-8/GOAL.md:13-25
geospatial-data-fabric-8,skills_referenced,none,.planning/geospatial-data-fabric-8/GOAL.md:1-29
geospatial-data-fabric-8,language,EN,.planning/geospatial-data-fabric-8/GOAL.md:1
geospatial-data-fabric-8,planning_file_set,"ARCHITECTURE BASELINE CAPABILITY_MATRIX DOCS_LEDGER FINAL_REPORT GOAL MILESTONES OWNERSHIP PERFORMANCE PLAN REVIEW_LOG TEST_MATRIX",ls .planning/geospatial-data-fabric-8/
geospatial-data-fabric-8,single_chain_invariants,"Pi stays the single agent loop; no second scheduler; … stay authoritative; all new surface is additive",.planning/geospatial-data-fabric-8/GOAL.md:27-29
geospatial-data-fabric-8,phase_structure,"Track contract packages A–I",.planning/geospatial-data-fabric-8/GOAL.md:13-25
lab-content-expansion,branch_name,zcode/lab-content-expansion,.planning/lab-content-expansion/GOAL.md:14
lab-content-expansion,worktree_path,../exp-rs-lab-content-expansion,.planning/lab-content-expansion/GOAL.md:14
lab-content-expansion,base_pinned,absent (base origin/master unpinned),.planning/lab-content-expansion/GOAL.md:14
lab-content-expansion,token_budget,absent,.planning/lab-content-expansion/GOAL.md:1-40
lab-content-expansion,subagent_limit,"≤2 subagents at any moment, read-only (research in Phase 0, adversarial review in Phase 6). Main agent does 100% of implementation",.planning/lab-content-expansion/GOAL.md:16
lab-content-expansion,no_ci_clause,"No CI: local evidence only → EVIDENCE.md",.planning/lab-content-expansion/GOAL.md:17
lab-content-expansion,build_parallelism,"CMAKE_BUILD_PARALLEL_LEVEL=2, CTEST_PARALLEL_LEVEL=1, Ninja -j2 (drop to -j1 if RSS > 70% or load > 1.5× cores); log CPU/RSS every 60 s",.planning/lab-content-expansion/GOAL.md:18
